Activity ID,Activity Name,Activity Type,Start Time,Duration (minutes),Distance (km),Calories,Average Heart Rate,Max Heart Rate,Average Speed (km/h),Max Speed (km/h),Elevation Gain (m),Average Cadence,Max Cadence,Average Power,Max Power,Training Effect,Average Temperature,Weather,Location Name
19436256306,Copenhagen Cycling,cycling,2025-06-15 06:37:44,115.05,55.47,1153.0,136.0,162.0,28.93,46.89,275.74860894680023,,,,,2.5999999046325684,,,Copenhagen
19427302257,Copenhagen Open Water Swimming,open_water_swimming,2025-06-14 09:25:48,61.0,2.48,478.0,138.0,149.0,2.44,7.1,,,,,,2.700000047683716,,,Copenhagen
19413257755,Copenhagen Running,running,2025-06-12 19:00:09,36.21,7.31,529.0,139.0,162.0,12.11,14.01,13.682643562555313,,,,,3.0,,,Copenhagen
19401232733,Pool Swim: Threshold Efforts,lap_swimming,2025-06-11 16:17:18,66.83,2.5,500.0,118.0,139.0,2.48,3.21,,,,,,1.7000000476837158,,,
19396444333,Copenhagen - Speed Workout Bike,cycling,2025-06-11 06:26:16,62.31,31.84,832.0,149.0,175.0,30.66,45.01,16.769584596157074,,,,,3.200000047683716,,,Copenhagen
19386051013,Copenhagen - Speed Workout Run,running,2025-06-10 06:42:02,52.17,11.18,824.0,156.0,178.0,12.86,17.2,57.158262729644775,,,,,3.9000000953674316,,,Copenhagen
19380587715,Copenhagen Open Water Swimming,open_water_swimming,2025-06-09 16:12:15,50.96,2.1,355.0,126.0,145.0,2.47,7.1,,,,,,2.0999999046325684,,,Copenhagen
19376478362,Copenhagen Running,running,2025-06-09 08:45:42,64.33,12.28,881.0,146.0,165.0,11.45,17.1,164.25325798988342,,,,,3.200000047683716,,,Copenhagen
19356308708,Copenhagen Running,running,2025-06-07 08:40:20,43.8,8.0,550.0,144.0,163.0,10.96,13.47,29.689999997615814,,,,,3.0999999046325684,,,Copenhagen
19347054360,Strength,strength_training,2025-06-06 07:42:32,44.51,,281.0,105.0,147.0,,,,,,,,0.699999988079071,,,
19340297484,Copenhagen - Run Off The Bike,running,2025-06-05 14:16:44,45.13,9.13,615.0,159.0,181.0,12.14,13.71,40.660000026226044,,,,,3.299999952316284,,,Copenhagen
19339846646,Copenhagen - Aerobic Endurance Ride,cycling,2025-06-05 12:32:09,91.64,40.6,814.0,131.0,155.0,26.58,41.72,90.47999998927116,,,,,2.700000047683716,,,Copenhagen
19331694658,Gentofte Open Water Swimming,open_water_swimming,2025-06-04 17:12:42,44.25,1.18,218.0,,,1.61,7.1,,,,,,0.30000001192092896,,,Gentofte
19326791806,Copenhagen - Fitness Test: Threshold Pace and,running,2025-06-04 07:01:18,35.16,8.23,609.0,163.0,179.0,14.04,15.55,78.21417915821075,,,,,4.099999904632568,,,Copenhagen
19320873795,Fitness Test: Critical Swim Spee,lap_swimming,2025-06-03 16:44:05,55.94,2.08,417.0,114.0,130.0,2.56,3.36,,,,,,1.100000023841858,,,
19306086161,Copenhagen - Fitness Test: FTP and Threshold,cycling,2025-06-02 06:31:01,50.14,24.31,601.0,139.0,171.0,29.09,42.59,10.801569283008575,,,,,2.799999952316284,,,Copenhagen
19298749785,Pool Swim,lap_swimming,2025-06-01 12:07:41,45.29,1.52,314.0,121.0,140.0,2.33,6.89,,,,,,1.5,,,
